id,marque,modele,annee,kilometrage,prix,carburant,transmission,couleur,ville,typeVendeur,datePublication,description
1,Tesla,Model 3,2019,88219,45999,ELECTRIQUE,AUTOMATIQUE,Blanc,Calgary,PARTICULIER,2026-01-19,"A vendre Tesla Model 3 2019, 88 219 km au compteur. 100% electrique, zero emission avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Calgary. Prix demande: 45 999 $."
2,Porsche,Cayenne,2019,46538,78995,ESSENCE,AUTOMATIQUE,Noir,Montreal,PARTICULIER,2025-12-25,"Cette Porsche Cayenne 2019 (46 538 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur noir. Vehicule non accidente, deuxieme proprietaire. Localisation: Montreal. Prix affiche: 78 995 $ CAD, faire une offre."
3,Ford,Escape,2022,500,48109,HYBRIDE,MANUELLE,Argent,Calgary,CONCESSIONNAIRE,2025-10-15,"Superbe Ford Escape 2022 en excellente condition, 500 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride, faible consommation, transmission manuelle. Interieur propre et non-fumeur. Idealement situe a Calgary. Prix: 48 109 $ CAD, negociable."
4,Volvo,XC60,2020,47090,46880,ESSENCE,AUTOMATIQUE,Gris,Montreal,CONCESSIONNAIRE,2025-10-28,"Occasion a saisir: Volvo XC60 2020, seulement 47 090 km. Vehicule a essence, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Montreal. Prix: 46 880 $."
5,Mazda,CX-5,2019,48214,28999,ESSENCE,AUTOMATIQUE,Noir,Montreal,CONCESSIONNAIRE,2025-11-28,"Cette Mazda CX-5 2019 (48 214 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur noir. Vehicule non accidente, deuxieme proprietaire. Localisation: Montreal. Prix affiche: 28 999 $ CAD, faire une offre."
6,Honda,Accord,2019,56684,36999,ESSENCE,AUTOMATIQUE,Noir,Toronto,CONCESSIONNAIRE,2025-11-18,"A vendre Honda Accord 2019, 56 684 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a Toronto. Prix demande: 36 999 $."
7,BMW,2,2015,111000,34995,ESSENCE,MANUELLE,Noir,Toronto,CONCESSIONNAIRE,2025-12-25,"Superbe BMW 2 2015 en excellente condition, 111 000 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission manuelle. Interieur propre et non-fumeur. Idealement situe a Toronto. Prix: 34 995 $ CAD, negociable."
8,Tesla,Model 3,2020,86603,52395,ELECTRIQUE,AUTOMATIQUE,Gris,Ottawa,CONCESSIONNAIRE,2025-09-23,"A vendre Tesla Model 3 2020, 86 603 km au compteur. 100% electrique, zero emission avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur gris, aucun accident rapporte. Disponible a Ottawa. Prix demande: 52 395 $."
9,Hyundai,Elantra,2020,153000,18999,ESSENCE,MANUELLE,Argent,Mississauga,CONCESSIONNAIRE,2025-10-26,"Hyundai Elantra 2020 de couleur argent, 153 000 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission manuelle. Inspection recente reussie. Vendeur situe a Mississauga. Prix: 18 999 $ CAD."
10,Nissan,LEAF,2019,71937,27188,ELECTRIQUE,AUTOMATIQUE,Gris,Toronto,CONCESSIONNAIRE,2025-06-24,"Nissan LEAF 2019 de couleur gris, 71 937 km, en tres bon etat mecanique et esthetique. Moteur 100% electrique, zero emission, transmission automatique. Inspection recente reussie. Vendeur situe a Toronto. Prix: 27 188 $ CAD."
11,Jeep,Wrangler,2023,500,59980,ESSENCE,MANUELLE,Bleu,Calgary,CONCESSIONNAIRE,2026-03-10,"Jeep Wrangler 2023 de couleur bleu, 500 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission manuelle. Inspection recente reussie. Vendeur situe a Calgary. Prix: 59 980 $ CAD."
12,Honda,Pilot,2018,186000,27999,ESSENCE,AUTOMATIQUE,Bordeaux,Toronto,CONCESSIONNAIRE,2026-02-21,"A vendre Honda Pilot 2018, 186 000 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur bordeaux, aucun accident rapporte. Disponible a Toronto. Prix demande: 27 999 $."
